"wavelength" "sample1" "sample2" "sample3"
190 0.89674 1.02927 1.19405
191 0.84894 0.96381 1.13721
192 0.77267 0.85339 1.0452
193 0.70967 0.75627 0.96782
194 0.65459 0.67145 0.90092
195 0.61371 0.60745 0.85054
196 0.57748 0.55074 0.80473
197 0.54857 0.50375 0.7679
198 0.52435 0.46466 0.73798
199 0.50412 0.43289 0.71466
200 0.48698 0.40613 0.69499
201 0.47231 0.38368 0.67705
202 0.45959 0.36484 0.66173
203 0.44696 0.34813 0.64796
204 0.43515 0.3338 0.63535
205 0.42468 0.32094 0.62378
206 0.4142 0.30917 0.61226
207 0.40321 0.2981 0.6002
208 0.39148 0.28647 0.58743
209 0.37946 0.27505 0.57481
210 0.36749 0.26422 0.56165
211 0.35486 0.25293 0.54753
212 0.34155 0.24126 0.53316
213 0.32777 0.22971 0.51874
214 0.31416 0.21823 0.50432
215 0.30058 0.20685 0.48978
216 0.2868 0.19519 0.47542
217 0.2737 0.18398 0.4614
218 0.2608 0.17322 0.44756
219 0.24756 0.16238 0.43387
220 0.23505 0.15236 0.42128
221 0.22365 0.14336 0.40974
222 0.21231 0.13438 0.39838
223 0.20139 0.12576 0.38771
224 0.19167 0.1179 0.37733
225 0.18282 0.11075 0.36763
226 0.1747 0.10452 0.35907
227 0.16721 0.09868 0.35081
228 0.16037 0.09319 0.3429
229 0.15411 0.08833 0.33574
230 0.14819 0.08379 0.32869
231 0.14282 0.07953 0.32208
232 0.138 0.07584 0.31581
233 0.13358 0.07219 0.30954
234 0.12935 0.06908 0.30363
235 0.12552 0.06642 0.29784
236 0.12202 0.06371 0.29268
237 0.11906 0.06146 0.28783
238 0.11636 0.05956 0.28297
239 0.11363 0.05791 0.2785
240 0.11151 0.05635 0.2742
241 0.1096 0.05502 0.27014
242 0.1078 0.05399 0.26634
243 0.1062 0.05287 0.26289
244 0.10439 0.05177 0.25955
245 0.10263 0.05074 0.25616
246 0.10123 0.04988 0.25301
247 0.10014 0.04897 0.25012
248 0.09909 0.04825 0.24738
249 0.09799 0.04776 0.24455
250 0.09688 0.04713 0.24185
251 0.09573 0.04663 0.23976
252 0.09473 0.04611 0.23763
253 0.09395 0.04562 0.23531
254 0.09323 0.0453 0.23328
255 0.09244 0.04485 0.23117
256 0.09169 0.04439 0.2292
257 0.09087 0.04401 0.22723
258 0.08992 0.04358 0.22516
259 0.08893 0.04324 0.22319
260 0.08827 0.04303 0.22134
261 0.08781 0.04295 0.21968
262 0.08714 0.04269 0.2177
263 0.08627 0.0423 0.2155
264 0.08533 0.04204 0.21336
265 0.08453 0.0419 0.2112
266 0.08371 0.04161 0.20903
267 0.0827 0.04129 0.20679
268 0.08162 0.04092 0.20448
269 0.0807 0.04056 0.20193
270 0.08003 0.04019 0.19954
271 0.07909 0.03984 0.19725
272 0.07779 0.03938 0.1945
273 0.07678 0.03886 0.19185
274 0.07579 0.03845 0.18944
275 0.07455 0.03795 0.18689
276 0.07341 0.0376 0.18413
277 0.07222 0.03717 0.18146
278 0.07097 0.03668 0.17886
279 0.06987 0.03612 0.17632
280 0.06888 0.03564 0.17393
281 0.06779 0.03531 0.17143
282 0.06654 0.03477 0.16891
283 0.06549 0.03403 0.16628
284 0.06442 0.03336 0.16339
285 0.06326 0.03275 0.16043
286 0.06207 0.032 0.15787
287 0.06078 0.03131 0.15526
288 0.05966 0.03061 0.15221
289 0.05846 0.0298 0.14952
290 0.0571 0.02907 0.14688
291 0.05576 0.02847 0.14394
292 0.05453 0.02773 0.14127
293 0.05341 0.02695 0.13885
294 0.05228 0.02617 0.13631
295 0.05116 0.02541 0.13383
296 0.05003 0.02473 0.13126
297 0.04893 0.02414 0.12874
298 0.04822 0.02365 0.12659
299 0.04732 0.02289 0.12422
300 0.04625 0.02211 0.12196
301 0.04535 0.02164 0.12
302 0.04437 0.02116 0.1179
303 0.04349 0.02063 0.11584
304 0.04266 0.02005 0.11371
305 0.04176 0.01949 0.11177
306 0.04086 0.01897 0.10995
307 0.03996 0.01859 0.10815
308 0.03928 0.01805 0.10638
309 0.03859 0.01772 0.10452
310 0.03767 0.0174 0.10271
311 0.03691 0.01682 0.10107
312 0.03651 0.01653 0.09967
313 0.03621 0.01642 0.09789
314 0.03545 0.01585 0.09593
315 0.03465 0.01544 0.09438
316 0.03386 0.01527 0.09276
317 0.03311 0.01488 0.09116
318 0.03294 0.01456 0.08998
319 0.03253 0.01454 0.08876
320 0.03185 0.01445 0.08743
321 0.03142 0.01418 0.08574
322 0.03072 0.01369 0.08394
323 0.03012 0.01315 0.08263
324 0.02971 0.01317 0.08136
325 0.02936 0.01323 0.08015
326 0.02882 0.01294 0.0789
327 0.02809 0.01292 0.07735
328 0.0276 0.01262 0.07594
329 0.02722 0.01219 0.07477
330 0.02687 0.0121 0.0735
331 0.0264 0.01187 0.07213
332 0.02602 0.01167 0.0708
333 0.02567 0.01134 0.06964
334 0.02495 0.011 0.06851
335 0.02444 0.0108 0.06728
336 0.02431 0.01088 0.06633
337 0.02403 0.01088 0.0654
338 0.02364 0.0108 0.06419
339 0.02336 0.01076 0.06311
340 0.02309 0.0106 0.06201
341 0.0224 0.01028 0.061
342 0.02205 0.01018 0.06029
343 0.02197 0.01027 0.05939
344 0.02138 0.01036 0.05864
345 0.02087 0.01004 0.05782
346 0.02072 0.00974 0.0562
347 0.02051 0.00938 0.05496
348 0.02005 0.00885 0.05417
349 0.0195 0.0089 0.05336
350 0.01944 0.00888 0.05231
351 0.01947 0.00879 0.05138
352 0.01903 0.00873 0.05078
353 0.01874 0.00841 0.04996
